"site_code","reach_code","year_month","day","replicate","note_invertebrate_sample","observer","subsample_fraction","length","count","taxon","note_invertebrate_observation"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,3,9,"Cricotopus","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,4,7,"Cricotopus","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,5,1,"Cricotopus","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,5,1,"Eukiefferiella","Ref, larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,8,1,"Nematoda","Ref"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,1,6,"Oligochaeta",""
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,2,32,"Oligochaeta",""
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,3,14,"Oligochaeta",""
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,4,1,"Oligochaeta",""
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,5,1,"Oligochaeta",""
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,3,1,"Parydra","Ref, larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,4,1,"Polypedilum","Ref, larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,1,1,"Probezzia","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,2,2,"Probezzia","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,3,13,"Probezzia","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,4,8,"Probezzia","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,5,7,"Probezzia","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,1,4,"Simulium","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,2,4,"Simulium","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,3,1,"Simulium","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,4,1,"Simulium","larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,2,1,"Thienemanniella","Ref, larva"
"BMW","G","2010-04",NA,3,NA,"MaTs",NA,5,1,"Tipulidae","pupa"
"BMW","G","2010-04",NA,4,NA,NA,NA,1,8,"Caloparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,2,27,"Caloparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,3,11,"Caloparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,4,3,"Caloparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,5,2,"Caloparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,6,12,"Caloparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,7,4,"Caloparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,9,2,"Caloparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,3,1,"Chimarra",""
"BMW","G","2010-04",NA,4,NA,NA,NA,5,3,"Chimarra",""
"BMW","G","2010-04",NA,4,NA,NA,NA,6,2,"Chimarra",""
"BMW","G","2010-04",NA,4,NA,NA,NA,2,2,"Corixidae","Nymph"
"BMW","G","2010-04",NA,4,NA,NA,NA,3,2,"Corixidae","Nymph"
"BMW","G","2010-04",NA,4,NA,NA,NA,3,1,"Empididae","Pupa"
"BMW","G","2010-04",NA,4,NA,NA,NA,2,1,"Euparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,6,1,"Euparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,7,2,"Euparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,8,4,"Euparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,9,3,"Euparyphus",""
"BMW","G","2010-04",NA,4,NA,NA,NA,5,1,"Forcipomyia",""
"BMW","G","2010-04",NA,4,NA,NA,NA,NA,1,"Hydrophilidae",""
"BMW","G","2010-04",NA,4,NA,NA,NA,3,4,"Hydropsyche",""
"BMW","G","2010-04",NA,4,NA,NA,NA,2,1,"Ochrotrichia",""
"BMW","G","2010-04",NA,4,NA,NA,NA,4,2,"Peltodytes","Adult"
"BMW","G","2010-04",NA,4,NA,NA,NA,2,7,"Pentaneurini",""
"BMW","G","2010-04",NA,4,NA,NA,NA,4,1,"Pentaneurini",""
"BMW","G","2010-04",NA,4,NA,NA,NA,2,4,"Tanypodinae","Larva"
"BMW","G","2010-04",NA,4,NA,NA,NA,3,1,"Tanypodinae","Larva"
"BMW","G","2010-04",NA,4,NA,NA,NA,4,1,"Tanypodinae","Larva"
"BMW","G","2010-04",NA,4,NA,NA,NA,5,1,"Tipulidae",""
"BMW","G","2010-04",NA,4,NA,NA,NA,7,3,"Tipulidae",""
"BMW","G","2010-04",NA,4,NA,NA,NA,8,1,"Tipulidae",""
"BMW","G","2010-04",NA,4,NA,NA,NA,19,1,"Tipulidae",""
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,1,4,"Baetis","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,2,1,"Baetis","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,3,1,"Baetis","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,3,1,"Brillia","Ref, larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,2,4,"Caloparyphus","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,4,1,"Cardiocladius","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,1,5,"Ceratopogonidae","pupa"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,2,4,"Ceratopogonidae","pupa"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,3,1,"Ceratopogonidae","pupa"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,4,1,"Ceratopogonidae","adult"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,1,9,"Chironomidae","pupa"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,2,24,"Chironomidae","pupa"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,3,33,"Chironomidae","pupa"
"BMW","G","2010-04",NA,5,NA,"MaTs",0.125,4,16,"Chironomidae","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",0.125,5,3,"Chironomidae","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,1,2,"Copepoda",""
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,1,1,"Cricotopus","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,2,18,"Cricotopus","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,3,28,"Cricotopus","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,4,3,"Cricotopus","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,4,2,"Cryptolabis","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,5,4,"Cryptolabis","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,6,5,"Cryptolabis","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,7,5,"Cryptolabis","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,8,3,"Cryptolabis","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,9,1,"Cryptolabis","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,4,1,"Liodessus","Ref, larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,7,1,"Muscidae","Ref, larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,5,1,"Nematoda",""
"BMW","G","2010-04",NA,5,NA,"MaTs",0.125,1,14,"Oligochaeta",""
"BMW","G","2010-04",NA,5,NA,"MaTs",0.125,2,22,"Oligochaeta",""
"BMW","G","2010-04",NA,5,NA,"MaTs",0.125,3,9,"Oligochaeta",""
"BMW","G","2010-04",NA,5,NA,"MaTs",0.125,4,3,"Oligochaeta",""
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,15,1,"Oligochaeta",""
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,70,1,"Oligochaeta",""
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,0,6,"Ostracoda",""
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,1,1,"Ostracoda",""
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,3,1,"Parydra","Ref, larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,2,1,"Pentaneurini","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,4,2,"Pentaneurini","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,2,5,"Probezzia","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,3,13,"Probezzia","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,4,28,"Probezzia","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,5,25,"Probezzia","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,6,2,"Probezzia","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,1,3,"Simulium","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,2,4,"Simulium","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,3,3,"Simulium","larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,2,1,"Thienemanniella","Ref, larva"
"BMW","G","2010-04",NA,5,NA,"MaTs",NA,5,1,"Tipulidae","pupa"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,3,3,"Baetis","larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,4,1,"Baetis","Ref, larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,5,5,"Baetis","Ref, larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,1,7,"Chironomidae","larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,2,5,"Chironomidae","pupa"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,3,9,"Chironomidae","pupa"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,4,7,"Chironomidae","larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,5,4,"Chironomidae","larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,6,4,"Chironomidae","larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,7,3,"Chironomidae","larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,2,1,"Ephydridae","Ref, adult"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,8,1,"Epistrophe","Ref, adult"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,10,1,"Nematoda",""
"RV","G","2010-04",NA,1,NA,"MaTs",NA,2,1,"Oligochaeta",""
"RV","G","2010-04",NA,1,NA,"MaTs",NA,4,1,"Oligochaeta",""
"RV","G","2010-04",NA,1,NA,"MaTs",NA,5,2,"Probezzia","larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,6,1,"Probezzia","larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,2,3,"Simulium","Ref, larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,3,15,"Simulium","Ref, pupa"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,4,10,"Simulium","Ref, larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,5,6,"Simulium","Ref, larva"
"RV","G","2010-04",NA,1,NA,"MaTs",NA,6,4,"Simulium","Ref, larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,1,43,"Baetis","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,2,20,"Baetis","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,3,6,"Baetis","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,4,6,"Baetis","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,5,20,"Baetis","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,2,8,"Caloparyphus","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,3,5,"Caloparyphus","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,4,7,"Caloparyphus","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,5,3,"Caloparyphus","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,2,1,"Ceratopogonidae","pupa"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,1,28,"Chironomidae","pupa"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,2,42,"Chironomidae","pupa"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,3,20,"Chironomidae","pupa"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,4,8,"Chironomidae","pupa"
"RV","G","2010-04",NA,2,NA,"MaTs",0.125,5,4,"Chironomidae","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",0.125,6,1,"Chironomidae","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",0.125,7,1,"Chironomidae","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,0,6,"Copepoda",""
"RV","G","2010-04",NA,2,NA,"MaTs",NA,1,8,"Copepoda",""
"RV","G","2010-04",NA,2,NA,"MaTs",NA,1,33,"Corynoneura","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,2,29,"Corynoneura","Ref, larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,3,1,"Culicoides","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,5,1,"Empididae","Ref, larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,0,4,"Hydrachnidia",""
"RV","G","2010-04",NA,2,NA,"MaTs",NA,1,3,"Hydrachnidia",""
"RV","G","2010-04",NA,2,NA,"MaTs",NA,1,2,"Liodessus","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,2,1,"Liodessus","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,7,1,"Muscidae","Ref, larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,9,1,"Muscidae","Ref, larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,1,1,"Ochrotrichia","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,2,1,"Ochrotrichia","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,4,1,"Ochrotrichia","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,5,1,"Ochrotrichia","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",0.125,1,18,"Oligochaeta",""
"RV","G","2010-04",NA,2,NA,"MaTs",0.125,2,34,"Oligochaeta",""
"RV","G","2010-04",NA,2,NA,"MaTs",0.125,3,14,"Oligochaeta",""
"RV","G","2010-04",NA,2,NA,"MaTs",0.125,4,1,"Oligochaeta",""
"RV","G","2010-04",NA,2,NA,"MaTs",NA,2,2,"Pentaneurini","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,3,1,"Pentaneurini","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,4,1,"Pentaneurini","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,5,1,"Pentaneurini","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,6,1,"Pentaneurini","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,2,10,"Probezzia","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,3,45,"Probezzia","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,4,16,"Probezzia","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,5,2,"Probezzia","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,6,3,"Probezzia","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,7,9,"Probezzia","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,8,3,"Probezzia","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",0.5,2,8,"Simulium","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,3,8,"Simulium","pupa"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,4,21,"Simulium","pupa"
"RV","G","2010-04",NA,2,NA,"MaTs",0.5,5,15,"Simulium","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",0.5,6,9,"Simulium","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",0.5,7,4,"Simulium","larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,1,19,"Thienemanniella","Ref, larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,2,45,"Thienemanniella","Ref, larva"
"RV","G","2010-04",NA,2,NA,"MaTs",NA,2,1,"Tropisternus","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,3,1,"Baetis","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,4,4,"Baetis","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,5,2,"Baetis","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,4,1,"Caloparyphus","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,1,3,"Chironomidae","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,2,2,"Chironomidae","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,3,5,"Chironomidae","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,4,4,"Chironomidae","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,5,6,"Chironomidae","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,7,3,"Chironomidae","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,0,1,"Hydrachnidia",""
"RV","G","2010-04",NA,3,NA,"MaTs",NA,1,6,"Oligochaeta",""
"RV","G","2010-04",NA,3,NA,"MaTs",NA,2,1,"Oligochaeta",""
"RV","G","2010-04",NA,3,NA,"MaTs",NA,3,2,"Oligochaeta",""
"RV","G","2010-04",NA,3,NA,"MaTs",NA,1,1,"Probezzia","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,3,1,"Probezzia","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,6,1,"Probezzia","larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,3,11,"Simulium","group, larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,4,15,"Simulium","group, larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,5,5,"Simulium","group, larva"
"RV","G","2010-04",NA,3,NA,"MaTs",NA,6,4,"Simulium","group, larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,1,18,"Baetis","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,2,7,"Baetis","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,3,1,"Baetis","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,4,4,"Baetis","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,5,4,"Baetis","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,6,1,"Baetis","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,1,2,"Caloparyphus","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,2,7,"Caloparyphus","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,3,3,"Caloparyphus","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,6,1,"Ceratopogonidae","pupa"
"RV","G","2010-04",NA,4,NA,"MaTs",0.25,1,55,"Chironomidae","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,2,29,"Chironomidae","pupa"
"RV","G","2010-04",NA,4,NA,"MaTs",0.25,3,6,"Chironomidae","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",0.25,4,2,"Chironomidae","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",0.25,5,2,"Chironomidae","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",0.25,2,5,"Corynoneura","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,1,1,"Hemerodromia","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,3,1,"Hemerodromia","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,0,5,"Hydrachnidia",""
"RV","G","2010-04",NA,4,NA,"MaTs",NA,1,4,"Hydrachnidia",""
"RV","G","2010-04",NA,4,NA,"MaTs",NA,2,2,"Hydrotrupes","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,4,1,"Hydrotrupes","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,0,1,"Hydrovolziidae","Ref"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,10,1,"Nematoda",""
"RV","G","2010-04",NA,4,NA,"MaTs",0.5,1,25,"Oligochaeta",""
"RV","G","2010-04",NA,4,NA,"MaTs",0.5,2,52,"Oligochaeta",""
"RV","G","2010-04",NA,4,NA,"MaTs",0.5,3,22,"Oligochaeta",""
"RV","G","2010-04",NA,4,NA,"MaTs",0.5,4,5,"Oligochaeta",""
"RV","G","2010-04",NA,4,NA,"MaTs",NA,50,1,"Oligochaeta",""
"RV","G","2010-04",NA,4,NA,"MaTs",NA,2,2,"Pentaneurini","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,2,3,"Probezzia","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,3,9,"Probezzia","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,4,5,"Probezzia","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,5,2,"Probezzia","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,6,2,"Probezzia","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,8,2,"Probezzia","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,9,1,"Probezzia","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,3,2,"Simulium","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,4,4,"Simulium","larva"
"RV","G","2010-04",NA,4,NA,"MaTs",NA,5,3,"Simulium","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,3,3,"Baetis","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,4,1,"Baetis","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,5,2,"Baetis","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,3,5,"Caloparyphus","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,4,9,"Caloparyphus","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,5,7,"Caloparyphus","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,6,4,"Caloparyphus","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,7,1,"Caloparyphus","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,1,3,"Chironomidae","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,2,4,"Chironomidae","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,3,5,"Chironomidae","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,4,9,"Chironomidae","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,5,9,"Chironomidae","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,6,3,"Chironomidae","pupa"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,7,1,"Chironomidae","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,12,1,"Dolichopodidae","Ref, larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,0,1,"Hydrachnidia",""
"RV","G","2010-04",NA,5,NA,"MaTs",NA,7,1,"Muscidae","Ref, larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,8,1,"Muscidae","Ref, larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,1,1,"Ochrotrichia","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,1,3,"Oligochaeta",""
"RV","G","2010-04",NA,5,NA,"MaTs",NA,2,3,"Oligochaeta",""
"RV","G","2010-04",NA,5,NA,"MaTs",NA,3,2,"Pentaneurini","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,7,1,"Probezzia","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,2,3,"Simulium","larva"
"RV","G","2010-04",NA,5,NA,"MaTs",NA,3,12,"Simulium","larva"
